Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2,Pressure PRED (bar),OriginalIndex,Fold,Replicate
h2,1333-74-0,chlorobenzene,108-90-7,0.004,23,0.996,14.1,[HH],C1=CC=C(C=C1)Cl,15.46159,73,1,1
h2,1333-74-0,toluene,108-88-3,0.0146,30,0.9854,44.13,[HH],CC1=CC=CC=C1,36.070953,231,1,1
h2,1333-74-0,n-butyl acetate,123-86-4,0.0084,18,0.9916,20.7,[HH],CCCCOC(=O)C,12.774788,175,1,1
methane,74-82-8,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0045,40,0.9955,43.54,C,COCCOCCOCCO,26.34476,237,1,1
n2,7727-37-9,ethyl acetate,141-78-6,0.0007,30,0.9993,1.3053,N#N,CCOC(=O)C,6.4361534,424,1,1
h2,1333-74-0,ethanol,64-17-5,0.0057,18,0.9943,25.6,[HH],CCO,10.854507,155,1,1
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0271,35,0.9729,90.3,[HH],CC(=C)C1=CC=CC=C1,82.95707,55,1,1
methane,74-82-8,toluene,108-88-3,0.055,40,0.945,23.8,C,CC1=CC=CC=C1,38.342934,322,1,1
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0403,50,0.9597,98.2,[HH],COCCOC,96.499954,9,1,1
h2,1333-74-0,cyclohexane,110-82-7,0.0113,30,0.9887,26.87,[HH],C1CCCCC1,25.068409,104,1,1
methane,74-82-8,acetone,67-64-1,0.1116,25,0.8884,54.9,C,CC(=O)C,58.822117,261,1,1
n2,7727-37-9,acetone,67-64-1,0.037,50,0.963,66.5,N#N,CC(=O)C,81.669716,351,1,1
h2,1333-74-0,n-propionaldehyde,123-38-6,0.089,20,0.911,125.0,[HH],CCC=O,163.13812,192,1,1
h2,1333-74-0,cyclohexane,110-82-7,0.0071,30,0.9929,17.16,[HH],C1CCCCC1,17.547207,101,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0488,45,0.9512,49.0,N#N,COC,53.760056,406,1,1
n2,7727-37-9,n-heptane,142-82-5,0.0482,40,0.9518,39.1,N#N,CCCCCCC,39.379093,452,1,1
h2,1333-74-0,acetone,67-64-1,0.0209,25,0.9791,73.4,[HH],CC(=O)C,50.12267,30,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.063,33,0.937,72.10000000000001,[HH],COC,93.317856,137,1,1
n2,7727-37-9,toluene,108-88-3,0.0151,30,0.9849,29.495,N#N,CC1=CC=CC=C1,35.101845,487,1,1
methane,74-82-8,acetone,67-64-1,0.0509,50,0.9491,30.7,C,CC(=O)C,44.12951,266,1,1
methane,74-82-8,ethanol,64-17-5,0.092,40,0.908,84.3,C,CCO,89.79504,289,1,1
n2,7727-37-9,toluene,108-88-3,0.018,50,0.982,36.4,N#N,CC1=CC=CC=C1,53.149136,491,1,1
h2,1333-74-0,benzene,71-43-2,0.0127,30,0.9873,46.01000000000001,[HH],C1=CC=CC=C1,25.73109,72,1,1
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0407,50,0.9593,130.0,[HH],CC(=C)C1=CC=CC=C1,118.12266,63,1,1
h2,1333-74-0,cumene,98-82-8,0.004,50,0.996,10.2,[HH],CC(C)C1=CC=CC=C1,12.404327,93,1,1
n2,7727-37-9,benzene,71-43-2,0.0119,30,0.9881,26.86,N#N,C1=CC=CC=C1,25.887558,369,1,1
n2,7727-37-9,phenol,108-95-2,0.0105,55,0.9895,70.5,N#N,C1=CC=C(C=C1)O,58.89188,480,1,1
h2,1333-74-0,chlorobenzene,108-90-7,0.0085,23,0.9915,32.2,[HH],C1=CC=C(C=C1)Cl,24.95819,77,1,1
h2,1333-74-0,benzene,71-43-2,0.006,30,0.994,22.07,[HH],C1=CC=CC=C1,15.770813,68,1,1
n2,7727-37-9,methyl formate,107-31-3,0.0089,30,0.9911,20.444,N#N,COC=O,28.010506,440,1,1
h2,1333-74-0,chlorobenzene,108-90-7,0.0074,23,0.9926,28.8,[HH],C1=CC=C(C=C1)Cl,22.210602,76,1,1
h2,1333-74-0,DMF,68-12-2,0.0067,25,0.9933,45.6,[HH],CN(C)C=O,46.329613,140,1,1
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0257,25,0.9743,74.30000000000001,[HH],COCCOC,62.170395,2,1,1
n2,7727-37-9,1-propanol,71-23-8,0.002,25,0.998,5.136,N#N,CCCO,8.434235,332,1,1
h2,1333-74-0,chlorobenzene,108-90-7,0.0104,23,0.9896,39.2,[HH],C1=CC=C(C=C1)Cl,29.96505,79,1,1
h2,1333-74-0,THF,109-99-9,0.0165,25,0.9835,61.10000000000001,[HH],C1CCOC1,48.88484,209,1,1
h2,1333-74-0,n-hexane,110-54-3,0.0264,25,0.9736,37.90000000000001,[HH],CCCCCC,32.628754,182,1,1
n2,7727-37-9,methyl formate,107-31-3,0.0004,30,0.9996,1.9245,N#N,COC=O,7.600033,436,1,1
methane,74-82-8,ethanol,64-17-5,0.061,40,0.939,54.8,C,CCO,72.02797,287,1,1
h2,1333-74-0,n-propionaldehyde,123-38-6,0.125,20,0.875,200.0,[HH],CCC=O,202.32193,195,1,1
n2,7727-37-9,methyl formate,107-31-3,0.0015,30,0.9985,4.3089,N#N,COC=O,9.685787,437,1,1
h2,1333-74-0,acetone,67-64-1,0.0059,50,0.9941,17.62,[HH],CC(=O)C,17.996151,33,1,1
methane,74-82-8,THF,109-99-9,0.0413,25,0.9587,20.0,C,C1CCOC1,40.66639,316,1,1
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0042,25,0.9958,11.59,[HH],COCCOC,12.693775,0,1,1
h2,1333-74-0,1-4-dioxane,123-91-1,0.0121,25,0.9879,65.85000000000001,[HH],C1COCCO1,54.64325,11,1,1
n2,7727-37-9,1-propanol,71-23-8,0.0037,25,0.9963,9.415,N#N,CCCO,11.017628,333,1,1
h2,1333-74-0,n-butanol,71-36-3,0.0087,18,0.9913,31.0,[HH],CCCCO,15.822216,173,1,1
h2,1333-74-0,chlorobenzene,108-90-7,0.0044,55,0.9956,13.2,[HH],C1=CC=C(C=C1)Cl,22.752514,84,1,1
n2,7727-37-9,acetone,67-64-1,0.056,50,0.944,102.2,N#N,CC(=O)C,111.62424,354,1,1
methane,74-82-8,acetone,67-64-1,0.0341,50,0.9659,20.7,C,CC(=O)C,32.73038,265,1,1
n2,7727-37-9,n-butyl acetate,123-86-4,0.0072,30,0.9928,8.622,N#N,CCCCOC(=O)C,11.067101,447,1,1
n2,7727-37-9,ethanol,64-17-5,0.0025,25,0.9975,7.589,N#N,CCO,7.490242,417,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.025,15,0.975,36.90000000000001,[HH],COC,28.976807,117,1,1
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0135,25,0.9865,68.30000000000001,[HH],COCCOCCOCCO,61.611954,18,1,1
n2,7727-37-9,acetonitrile,75-05-8,0.0071,31,0.9929,22.112,N#N,CC#N,42.930534,360,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.063,45,0.937,58.9,N#N,COC,65.721886,407,1,1
n2,7727-37-9,toluene,108-88-3,0.032,50,0.968,70.4,N#N,CC1=CC=CC=C1,86.97387,492,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0415,25,0.9585,41.7,N#N,COC,41.031258,384,1,1
h2,1333-74-0,toluene,108-88-3,0.0169,25,0.9831,55.3,[HH],CC1=CC=CC=C1,40.10424,218,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0667,25,0.9333,61.9,N#N,COC,62.491516,386,1,1
h2,1333-74-0,acetonitrile,75-05-8,0.0028,25,0.9972,15.94,[HH],CC#N,11.952255,39,1,1
n2,7727-37-9,n-butyl acetate,123-86-4,0.0112,30,0.9888,13.517,N#N,CCCCOC(=O)C,14.552387,448,1,1
h2,1333-74-0,n-propionaldehyde,123-38-6,0.079,39,0.921,200.0,[HH],CCC=O,157.12088,203,1,1
methane,74-82-8,dimethyl-ether,115-10-6,0.083,40,0.917,30.3,C,COC,32.399643,278,1,1
h2,1333-74-0,ethanol,64-17-5,0.0031,18,0.9969,13.9,[HH],CCO,7.157276,153,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0384,45,0.9616,40.4,N#N,COC,42.304848,405,1,1
h2,1333-74-0,benzene,71-43-2,0.0098,30,0.9902,35.44,[HH],C1=CC=CC=C1,20.864502,70,1,1
n2,7727-37-9,n-propionaldehyde,123-38-6,0.064,20,0.936,125.0,N#N,CCC=O,126.406876,467,1,1
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0438,25,0.9562,100.3,C,C1COCCN1C=O,92.997925,248,1,1
n2,7727-37-9,toluene,108-88-3,0.056,40,0.944,102.0,N#N,CC1=CC=CC=C1,122.75442,488,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.03,33,0.97,38.7,[HH],COC,45.60213,132,1,1
h2,1333-74-0,chlorobenzene,108-90-7,0.0158,55,0.9842,50.90000000000001,[HH],C1=CC=C(C=C1)Cl,55.17484,90,1,1
h2,1333-74-0,benzene,71-43-2,0.0076,30,0.9924,27.44,[HH],C1=CC=CC=C1,17.959732,69,1,1
n2,7727-37-9,toluene,108-88-3,0.128,40,0.872,303.0,N#N,CC1=CC=CC=C1,302.1354,490,1,1
methane,74-82-8,acetone,67-64-1,0.136,50,0.864,82.5,C,CC(=O)C,81.48901,271,1,1
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0131,25,0.9869,24.1,C,C1COCCN1C=O,26.0192,245,1,1
h2,1333-74-0,chlorobenzene,108-90-7,0.009,23,0.991,35.7,[HH],C1=CC=C(C=C1)Cl,26.258846,78,1,1
h2,1333-74-0,chlorobenzene,108-90-7,0.0138,23,0.9862,52.50000000000001,[HH],C1=CC=C(C=C1)Cl,38.9802,82,1,1
n2,7727-37-9,n-hexane,110-54-3,0.0325,30,0.9675,24.454,N#N,CCCCCC,27.186531,461,1,1
methane,74-82-8,toluene,108-88-3,0.106,20,0.894,47.73,C,CC1=CC=CC=C1,47.403854,320,1,1
n2,7727-37-9,toluene,108-88-3,0.0009,30,0.9991,1.7265,N#N,CC1=CC=CC=C1,10.9056015,482,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.024,33,0.976,32.2,[HH],COC,34.041786,131,1,1
n2,7727-37-9,n-propionaldehyde,123-38-6,0.0103,30,0.9897,19.428,N#N,CCC=O,19.658588,475,1,1
methane,74-82-8,n-butanol,71-36-3,0.079,50,0.921,50.2,C,CCCCO,52.513622,302,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.002,33,0.998,9.6,[HH],COC,7.301113,124,1,1
n2,7727-37-9,acetone,67-64-1,0.011,30,0.989,20.9,N#N,CC(=O)C,21.92664,342,1,1
n2,7727-37-9,ethyl acetate,141-78-6,0.0109,30,0.9891,18.8,N#N,CCOC(=O)C,16.81205,428,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.005,33,0.995,14.0,[HH],COC,10.51355,126,1,1
methane,74-82-8,acetone,67-64-1,0.0822,50,0.9178,50.0,C,CC(=O)C,60.618908,268,1,1
n2,7727-37-9,ethyl formate,109-94-4,0.0046,31,0.9954,8.253,N#N,CCOC=O,12.175354,432,1,1
h2,1333-74-0,chlorobenzene,108-90-7,0.0092,55,0.9908,28.6,[HH],C1=CC=C(C=C1)Cl,36.59105,86,1,1
h2,1333-74-0,chlorobenzene,108-90-7,0.007,23,0.993,25.2,[HH],C1=CC=C(C=C1)Cl,21.261925,75,1,1
n2,7727-37-9,toluene,108-88-3,0.109,50,0.891,277.5,N#N,CC1=CC=CC=C1,266.28775,495,1,1
h2,1333-74-0,1-4-dioxane,123-91-1,0.0225,50,0.9775,99.4,[HH],C1COCCO1,95.88031,15,1,1
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0352,25,0.9648,73.6,C,C1COCCN1C=O,74.5323,247,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0294,25,0.9706,31.9,N#N,COC,28.163393,383,1,1
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0199,25,0.9801,102.6,[HH],COCCOCCOCCO,82.27159,19,1,1
methane,74-82-8,toluene,108-88-3,0.026,40,0.974,11.7,C,CC1=CC=CC=C1,24.114319,321,1,1
n2,7727-37-9,1-propanol,71-23-8,0.0013,25,0.9987,3.445,N#N,CCCO,7.382862,331,1,1
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0371,35,0.9629,130.0,[HH],CC(=C)C1=CC=CC=C1,105.4518,56,1,1
h2,1333-74-0,toluene,108-88-3,0.01,30,0.99,30.18,[HH],CC1=CC=CC=C1,24.133469,227,1,1
methane,74-82-8,ethanol,64-17-5,0.0116,25,0.9884,6.41,C,CCO,11.975822,280,1,1
n2,7727-37-9,toluene,108-88-3,0.0049,30,0.9951,9.4249,N#N,CC1=CC=CC=C1,16.086422,484,1,1
h2,1333-74-0,toluene,108-88-3,0.0232,25,0.9768,76.0,[HH],CC1=CC=CC=C1,56.03472,220,1,1
n2,7727-37-9,n-butyl acetate,123-86-4,0.0035,30,0.9965,4.1629,N#N,CCCCOC(=O)C,7.7778854,446,1,1
n2,7727-37-9,ethanol,64-17-5,0.0188,25,0.9812,54.153,N#N,CCO,53.237675,421,1,1
n2,7727-37-9,benzene,71-43-2,0.0131,40,0.9869,28.08,N#N,C1=CC=CC=C1,34.061203,375,1,1
h2,1333-74-0,acetone,67-64-1,0.0079,25,0.9921,27.5,[HH],CC(=O)C,17.489666,25,1,1
h2,1333-74-0,toluene,108-88-3,0.0121,30,0.9879,36.38,[HH],CC1=CC=CC=C1,29.154886,229,1,1
h2,1333-74-0,n-hexane,110-54-3,0.0134,25,0.9866,19.2,[HH],CCCCCC,16.816032,180,1,1
n2,7727-37-9,ethyl formate,109-94-4,0.0113,31,0.9887,20.023,N#N,CCOC=O,20.968586,434,1,1
h2,1333-74-0,ethanol,64-17-5,0.005,18,0.995,21.8,[HH],CCO,9.8539505,154,1,1
h2,1333-74-0,acetonitrile,75-05-8,0.0107,25,0.9893,60.8,[HH],CC#N,40.67808,42,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0121,45,0.9879,20.9,N#N,COC,15.922989,402,1,1
methane,74-82-8,cyclohexane,108-95-2,0.059,40,0.941,20.2,C,C1=CC=C(C=C1)O,52.301693,275,1,1
methane,74-82-8,dimethyl-ether,115-10-6,0.044,40,0.956,20.2,C,COC,21.754444,277,1,1
n2,7727-37-9,n-propionaldehyde,123-38-6,0.0154,30,0.9846,28.838,N#N,CCC=O,30.363209,476,1,1
h2,1333-74-0,toluene,108-88-3,0.0073,30,0.9927,21.96,[HH],CC1=CC=CC=C1,19.24916,225,1,1
methane,74-82-8,propanol,71-23-8,0.094,40,0.906,57.61,C,CCCO,70.945946,312,1,1
n2,7727-37-9,ethanol,64-17-5,0.001,25,0.999,3.028,N#N,CCO,4.932884,415,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0812,45,0.9188,72.8,N#N,COC,79.105545,408,1,1
methane,74-82-8,toluene,108-88-3,0.071,40,0.929,31.4,C,CC1=CC=CC=C1,45.619347,323,1,1
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.016,50,0.984,66.80000000000001,[HH],COCCOCCOCCO,73.826126,22,1,1
methane,74-82-8,toluene,108-88-3,0.12,40,0.88,55.3,C,CC1=CC=CC=C1,62.401043,325,1,1
h2,1333-74-0,acetonitrile,75-05-8,0.0032,50,0.9968,15.54,[HH],CC#N,22.882576,46,1,1
h2,1333-74-0,acetone,67-64-1,0.0246,25,0.9754,88.10000000000001,[HH],CC(=O)C,60.492367,31,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.008,15,0.992,16.9,[HH],COC,12.1999855,113,1,1
n2,7727-37-9,1-propanol,71-23-8,0.0054,25,0.9946,13.761,N#N,CCCO,13.536293,334,1,1
methane,74-82-8,cyclohexane,108-95-2,0.131,20,0.869,40.9,C,C1=CC=C(C=C1)O,66.29891,274,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0308,45,0.9692,34.9,N#N,COC,33.17757,404,1,1
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0033,50,0.9967,10.0,[HH],CC(=C)C1=CC=CC=C1,18.868233,57,1,1
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0505,40,0.9495,116.5,C,C1COCCN1C=O,116.183655,255,1,1
h2,1333-74-0,acetone,67-64-1,0.0042,25,0.9958,14.73,[HH],CC(=O)C,12.799049,24,1,1
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0092,25,0.9908,46.49,[HH],COCCOCCOCCO,46.57712,17,1,1
h2,1333-74-0,n-butanol,71-36-3,0.0071,18,0.9929,26.0,[HH],CCCCO,13.865196,172,1,1
h2,1333-74-0,benzene,71-43-2,0.0047,30,0.9953,16.84,[HH],C1=CC=CC=C1,13.986668,66,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.022,45,0.978,28.3,N#N,COC,24.260574,403,1,1
n2,7727-37-9,ethanol,64-17-5,0.0003,25,0.9997,0.849,N#N,CCO,3.724949,412,1,1
h2,1333-74-0,cumene,98-82-8,0.0132,50,0.9868,30.1,[HH],CC(C)C1=CC=CC=C1,28.309273,94,1,1
h2,1333-74-0,DMF,68-12-2,0.0119,50,0.9881,66.30000000000001,[HH],CN(C)C=O,68.86122,148,1,1
n2,7727-37-9,n-propionaldehyde,123-38-6,0.089,20,0.911,175.0,N#N,CCC=O,178.3564,469,1,1
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0245,50,0.9755,103.3,[HH],COCCOCCOCCO,98.64634,23,1,1
methane,74-82-8,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.001,40,0.999,9.14,C,COCCOCCOCCO,19.016136,234,1,1
n2,7727-37-9,benzene,71-43-2,0.0144,30,0.9856,32.89,N#N,C1=CC=CC=C1,32.745533,371,1,1
h2,1333-74-0,n-propionaldehyde,123-38-6,0.102,20,0.898,150.0,[HH],CCC=O,177.37878,193,1,1
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0078,50,0.9922,17.82,[HH],COCCOC,23.454311,5,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.02,15,0.98,30.9,[HH],COC,23.582787,116,1,1
h2,1333-74-0,acetonitrile,75-05-8,0.0174,25,0.9826,102.5,[HH],CC#N,67.37006,45,1,1
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0035,25,0.9965,17.59,[HH],COCCOCCOCCO,25.682861,16,1,1
n2,7727-37-9,n-propionaldehyde,123-38-6,0.038,20,0.962,75.0,N#N,CCC=O,78.48839,465,1,1
n2,7727-37-9,acetone,67-64-1,0.06,50,0.94,111.4,N#N,CC(=O)C,117.31845,355,1,1
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0327,25,0.9673,95.3,[HH],COCCOC,76.761185,3,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0947,35,0.9053,82.9,N#N,COC,84.66617,398,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0935,25,0.9065,82.9,N#N,COC,79.58009,388,1,1
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0157,50,0.9843,50.1,[HH],CC(=C)C1=CC=CC=C1,58.555027,60,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.003,15,0.997,9.3,[HH],COC,7.2240257,110,1,1
methane,74-82-8,THF,109-99-9,0.102,25,0.898,50.0,C,C1CCOC1,72.7467,317,1,1
methane,74-82-8,acetone,67-64-1,0.1443,25,0.8557,70.8,C,CC(=O)C,68.11767,262,1,1
h2,1333-74-0,acetone,67-64-1,0.0152,25,0.9848,54.1,[HH],CC(=O)C,32.95233,29,1,1
methane,74-82-8,n-butanol,71-36-3,0.056,30,0.944,31.2,C,CCCCO,33.22608,294,1,1
h2,1333-74-0,n-hexane,110-54-3,0.0547,25,0.9453,80.7,[HH],CCCCCC,79.16547,185,1,1
h2,1333-74-0,acetone,67-64-1,0.0091,25,0.9909,32.3,[HH],CC(=O)C,19.038227,26,1,1
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0209,50,0.9791,49.16,[HH],COCCOC,59.776016,7,1,1
n2,7727-37-9,n-butyl acetate,123-86-4,0.0237,30,0.9763,29.184,N#N,CCCCOC(=O)C,28.135775,450,1,1
h2,1333-74-0,cyclohexane,110-82-7,0.0197,30,0.9803,47.43000000000001,[HH],C1CCCCC1,44.466106,108,1,1
h2,1333-74-0,acetone,67-64-1,0.0229,50,0.9771,67.0,[HH],CC(=O)C,70.65396,37,1,1
h2,1333-74-0,ethyl formate,109-94-4,0.0051,18,0.9949,16.0,[HH],CCOC=O,11.18961,157,1,1
n2,7727-37-9,n-propionaldehyde,123-38-6,0.013,20,0.987,25.0,N#N,CCC=O,21.79837,463,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.032,15,0.968,43.50000000000001,[HH],COC,40.75077,118,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.011,15,0.989,20.9,[HH],COC,15.088863,114,1,1
h2,1333-74-0,n-hexane,110-54-3,0.0183,25,0.9817,26.1,[HH],CCCCCC,21.622482,181,1,1
h2,1333-74-0,n-butyl acetate,123-86-4,0.0109,18,0.9891,26.5,[HH],CCCCOC(=O)C,15.432629,176,1,1
h2,1333-74-0,DMF,68-12-2,0.0141,25,0.9859,97.7,[HH],CN(C)C=O,72.473755,144,1,1
n2,7727-37-9,benzene,71-43-2,0.0086,30,0.9914,19.7,N#N,C1=CC=CC=C1,20.229889,367,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.049,15,0.951,69.3,N#N,COC,46.27414,377,1,1
methane,74-82-8,propanol,71-23-8,0.059,40,0.941,37.4,C,CCCO,53.72479,311,1,1
h2,1333-74-0,THF,109-99-9,0.01,25,0.99,37.1,[HH],C1CCOC1,28.084053,208,1,1
h2,1333-74-0,THF,109-99-9,0.0095,50,0.9905,29.5,[HH],C1CCOC1,38.297092,211,1,1
n2,7727-37-9,m-xylene,108-38-3,0.061,40,0.939,102.0,N#N,CC1=CC(=CC=C1)C,116.85147,442,1,1
h2,1333-74-0,DMF,68-12-2,0.0094,25,0.9906,65.30000000000001,[HH],CN(C)C=O,56.19594,141,1,1
n2,7727-37-9,n-butyl acetate,123-86-4,0.017,30,0.983,20.687,N#N,CCCCOC(=O)C,19.730717,449,1,1
h2,1333-74-0,benzene,71-43-2,0.0056,30,0.9944,20.22,[HH],C1=CC=CC=C1,15.222965,67,1,1
h2,1333-74-0,propanol,71-23-8,0.0031,18,0.9969,12.7,[HH],CCCO,9.151623,204,1,1
h2,1333-74-0,methyl formate,107-31-3,0.0061,18,0.9939,45.8,[HH],COC=O,14.432545,168,1,1
n2,7727-37-9,benzene,71-43-2,0.0106,40,0.9894,22.67,N#N,C1=CC=CC=C1,26.549751,373,1,1
n2,7727-37-9,acetone,67-64-1,0.054,30,0.946,110.7,N#N,CC(=O)C,100.12343,346,1,1
n2,7727-37-9,1-propanol,71-23-8,0.0324,25,0.9676,78.973,N#N,CCCO,73.90883,340,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.002,15,0.998,7.700000000000001,[HH],COC,6.2316933,109,1,1
n2,7727-37-9,methyl formate,107-31-3,0.0127,30,0.9873,29.141,N#N,COC=O,41.0065,441,1,1
h2,1333-74-0,DMF,68-12-2,0.0049,50,0.9951,27.5,[HH],CN(C)C=O,45.654076,145,1,1
h2,1333-74-0,chlorobenzene,108-90-7,0.0193,55,0.9807,64.4,[HH],C1=CC=C(C=C1)Cl,64.90506,92,1,1
h2,1333-74-0,DMF,68-12-2,0.0176,50,0.9824,100.6,[HH],CN(C)C=O,85.99509,152,1,1
n2,7727-37-9,acetonitrile,75-05-8,0.0005,31,0.9995,1.6171,N#N,CC#N,8.88866,356,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0174,35,0.9826,23.2,N#N,COC,19.281906,392,1,1
h2,1333-74-0,chlorobenzene,108-90-7,0.0144,23,0.9856,56.3,[HH],C1=CC=C(C=C1)Cl,40.51438,83,1,1
n2,7727-37-9,ethyl formate,109-94-4,0.0076,31,0.9924,13.474,N#N,CCOC=O,16.081493,433,1,1
h2,1333-74-0,methyl formate,107-31-3,0.0046,18,0.9954,34.9,[HH],COC=O,12.265015,165,1,1
methane,74-82-8,ethanol,64-17-5,0.124,40,0.876,118.9,C,CCO,105.24121,291,1,1
h2,1333-74-0,n-propionaldehyde,123-38-6,0.04,39,0.96,100.0,[HH],CCC=O,102.60899,199,1,1
h2,1333-74-0,toluene,108-88-3,0.0303,25,0.9697,101.2,[HH],CC1=CC=CC=C1,72.63621,222,1,1
h2,1333-74-0,chlorobenzene,108-90-7,0.0052,23,0.9948,19.2,[HH],C1=CC=C(C=C1)Cl,17.459793,74,1,1
methane,74-82-8,n-heptane,142-82-5,0.124,38,0.876,27.579,C,CCCCCCC,38.15772,307,1,1
h2,1333-74-0,THF,109-99-9,0.0261,25,0.9739,96.6,[HH],C1CCOC1,78.28537,210,1,1
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0071,25,0.9929,12.3,C,C1COCCN1C=O,12.60804,244,1,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.038,15,0.962,50.40000000000001,[HH],COC,51.88572,119,1,1
methane,74-82-8,ethanol,64-17-5,0.0234,25,0.9766,25.37,C,CCO,22.621704,281,1,1
methane,74-82-8,n-butanol,71-36-3,0.02,50,0.98,10.5,C,CCCCO,18.579391,298,1,1
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0553,25,0.9447,134.5,C,C1COCCN1C=O,112.46124,249,1,1
n2,7727-37-9,acetone,67-64-1,0.045,50,0.955,81.5,N#N,CC(=O)C,94.34047,352,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0824,35,0.9176,73.1,N#N,COC,75.936295,397,1,1
n2,7727-37-9,1-propanol,71-23-8,0.0057,25,0.9943,14.446,N#N,CCCO,13.97102,335,1,1
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0018,40,0.9982,2.95,C,C1COCCN1C=O,5.6905174,250,1,1
h2,1333-74-0,toluene,108-88-3,0.0108,30,0.9892,32.71,[HH],CC1=CC=CC=C1,25.980015,228,1,1
n2,7727-37-9,dimethyl ether,115-10-6,0.06,15,0.94,84.8,N#N,COC,55.000034,380,1,1
n2,7727-37-9,methyl formate,107-31-3,0.0058,30,0.9942,13.707,N#N,COC=O,17.558342,439,1,1
h2,1333-74-0,acetone,67-64-1,0.0226,50,0.9774,67.10000000000001,[HH],CC(=O)C,69.746544,36,1,1
h2,1333-74-0,n-propionaldehyde,123-38-6,0.01,39,0.99,25.0,[HH],CCC=O,21.162525,196,1,1
h2,1333-74-0,DMF,68-12-2,0.0047,25,0.9953,32.8,[HH],CN(C)C=O,38.637054,139,1,1
n2,7727-37-9,benzene,71-43-2,0.0086,20,0.9914,20.74,N#N,C1=CC=CC=C1,18.919724,362,1,1
methane,74-82-8,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0059,40,0.9941,55.14,C,COCCOCCOCCO,29.306799,238,1,1
methane,74-82-8,ethanol,64-17-5,0.1268,25,0.8732,113.56,C,CCO,95.35132,284,1,1
methane,74-82-8,propanol,71-23-8,0.141,40,0.859,100.79,C,CCCO,86.876755,314,1,1
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0098,50,0.9902,30.0,[HH],CC(=C)C1=CC=CC=C1,38.98284,59,1,1
