Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2,Pressure PRED (bar),OriginalIndex,Fold,Replicate
h2,1333-74-0,n-propionaldehyde,123-38-6,0.02,39,0.98,50.0,[HH],CCC=O,46.829395,197,3,1
h2,1333-74-0,n-hexane,110-54-3,0.0108,25,0.9892,15.3,[HH],CCCCCC,10.810059,178,3,1
h2,1333-74-0,toluene,108-88-3,0.0303,25,0.9697,101.2,[HH],CC1=CC=CC=C1,73.60818,222,3,1
h2,1333-74-0,DMF,68-12-2,0.0094,25,0.9906,65.30000000000001,[HH],CN(C)C=O,57.572765,141,3,1
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.016,50,0.984,66.80000000000001,[HH],COCCOCCOCCO,81.81174,22,3,1
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0352,25,0.9648,73.6,C,C1COCCN1C=O,71.973976,247,3,1
h2,1333-74-0,acetone,67-64-1,0.0246,25,0.9754,88.10000000000001,[HH],CC(=O)C,63.035744,31,3,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.047,15,0.953,64.4,[HH],COC,59.04129,121,3,1
n2,7727-37-9,n-propionaldehyde,123-38-6,0.013,20,0.987,25.0,N#N,CCC=O,17.210934,463,3,1
n2,7727-37-9,acetone,67-64-1,0.056,50,0.944,102.2,N#N,CC(=O)C,114.45369,354,3,1
n2,7727-37-9,1-propanol,71-23-8,0.0054,25,0.9946,13.761,N#N,CCCO,10.740715,334,3,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.03,33,0.97,38.7,[HH],COC,42.093674,132,3,1
h2,1333-74-0,acetonitrile,75-05-8,0.0107,25,0.9893,60.8,[HH],CC#N,44.82255,42,3,1
n2,7727-37-9,n-hexane,110-54-3,0.0087,30,0.9913,6.5885,N#N,CCCCCC,6.6770325,458,3,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0415,25,0.9585,41.7,N#N,COC,41.16192,384,3,1
n2,7727-37-9,ethyl acetate,141-78-6,0.0073,30,0.9927,12.529,N#N,CCOC(=O)C,10.018288,427,3,1
h2,1333-74-0,acetone,67-64-1,0.0079,25,0.9921,27.5,[HH],CC(=O)C,16.380981,25,3,1
h2,1333-74-0,cyclohexane,110-82-7,0.0071,30,0.9929,17.16,[HH],C1CCCCC1,14.79781,101,3,1
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0289,50,0.9711,90.1,[HH],CC(=C)C1=CC=CC=C1,97.69368,62,3,1
n2,7727-37-9,phenol,108-95-2,0.0068,55,0.9932,50.2,N#N,C1=CC=C(C=C1)O,40.80886,478,3,1
n2,7727-37-9,ethanol,64-17-5,0.0014,25,0.9986,4.387,N#N,CCO,0.79359055,416,3,1
n2,7727-37-9,acetone,67-64-1,0.045,50,0.955,81.5,N#N,CC(=O)C,93.66089,352,3,1
h2,1333-74-0,chlorobenzene,108-90-7,0.0052,23,0.9948,19.2,[HH],C1=CC=C(C=C1)Cl,18.181675,74,3,1
h2,1333-74-0,acetonitrile,75-05-8,0.0062,25,0.9938,35.9,[HH],CC#N,23.804153,40,3,1
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0553,25,0.9447,134.5,C,C1COCCN1C=O,114.23338,249,3,1
h2,1333-74-0,cyclohexane,110-82-7,0.0113,30,0.9887,26.87,[HH],C1CCCCC1,22.82666,104,3,1
h2,1333-74-0,toluene,108-88-3,0.0232,25,0.9768,76.0,[HH],CC1=CC=CC=C1,55.8582,220,3,1
n2,7727-37-9,dimethyl ether,115-10-6,0.1112,35,0.8888,95.3,N#N,COC,103.75107,399,3,1
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0505,40,0.9495,116.5,C,C1COCCN1C=O,117.92787,255,3,1
