Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2,Pressure PRED (bar),OriginalIndex,Fold,Replicate
co2,124-38-9,acetone,67-64-1,0.5,40,0.5,35.2,C(=O)=O,CC(=O)C,47.169632,59,1,1
co2,124-38-9,1-4-dioxane,123-91-1,0.2294,30,0.7706,13.3,C(=O)=O,C1COCCO1,13.747911,841,1,1
co2,124-38-9,ethanol,64-17-5,0.4922999999999999,30,0.5077,55.7,C(=O)=O,CCO,60.47675,292,1,1
co2,124-38-9,2-methoxyethanol,109-86-4,0.0616,45,0.9384,9.422,C(=O)=O,COCCO,8.084578,732,1,1
co2,124-38-9,n-butanol,71-36-3,0.5363,40,0.4637,72.3,C(=O)=O,CCCCO,71.56821,604,1,1
co2,124-38-9,benzene,71-43-2,0.908,30,0.092,61.5,C(=O)=O,C1=CC=CC=C1,66.01087,457,1,1
co2,124-38-9,ethyl-pyrrolidinone,2687-91-4,0.643,40,0.357,59.8,C(=O)=O,CCN1CCCC1=O,52.232624,389,1,1
co2,124-38-9,NMP,872-50-4,0.0896,40,0.9104,8.89,C(=O)=O,CN1CCCC1=O,7.7696953,1011,1,1
co2,124-38-9,cyclohexane,110-82-7,0.451,30,0.5489999999999999,45.9,C(=O)=O,C1CCCCC1,46.382133,23,1,1
co2,124-38-9,o-xylene,95-47-6,0.3878,40,0.6122,40.9,C(=O)=O,CC1=CC=CC=C1C,43.0439,209,1,1
co2,124-38-9,n-hexane,110-54-3,0.81,35,0.1899999999999999,60.2,C(=O)=O,CCCCCC,63.76493,486,1,1
co2,124-38-9,n-heptane,142-82-5,0.503,20,0.497,34.8,C(=O)=O,CCCCCCC,34.34624,518,1,1
co2,124-38-9,1-4-dioxane,123-91-1,0.8051999999999999,30,0.1948,53.6,C(=O)=O,C1COCCO1,53.846718,851,1,1
co2,124-38-9,THF,109-99-9,0.2904,60,0.7096,27.0,C(=O)=O,C1CCOC1,32.585377,256,1,1
co2,124-38-9,2-butanol,78-92-2,0.6884999999999999,35,0.3115000000000001,68.3,C(=O)=O,CCC(C)O,68.27512,630,1,1
co2,124-38-9,1-4-dioxane,123-91-1,0.6753,30,0.3247,43.0,C(=O)=O,C1COCCO1,43.28752,846,1,1
co2,124-38-9,ethyl-acetate,141-78-6,0.7601,50,0.2399,64.8,C(=O)=O,CCOC(=O)C,72.74746,411,1,1
co2,124-38-9,2-butanone,78-93-3,0.7386310500000001,60,0.2613689499999999,66.2,C(=O)=O,CCC(=O)C,82.98724,83,1,1
co2,124-38-9,dimethyl-ether,115-10-6,0.8109999999999999,40,0.189,63.53,C(=O)=O,COC,65.71561,442,1,1
co2,124-38-9,methanol,67-56-1,0.0771,0,0.9229,6.67,C(=O)=O,CO,6.7135983,1019,1,1
co2,124-38-9,1-pentanol,71-41-0,0.0394,30,0.9606,6.0,C(=O)=O,CCCCCO,8.100018,673,1,1
co2,124-38-9,gamma-butyrolactone,96-48-0,0.474,20,0.526,37.9,C(=O)=O,C1CC(=O)OC1,37.55767,803,1,1
co2,124-38-9,1-hexanol,111-27-3,0.6548,40,0.3451999999999999,81.7,C(=O)=O,CCCCCCO,72.679794,660,1,1
co2,124-38-9,toluene,108-88-3,0.8079999999999999,30,0.192,59.5,C(=O)=O,CC1=CC=CC=C1,60.061428,506,1,1
