Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure COSMO (bar),SMILES 1,SMILES 2
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.4,50,0.6,35.42287212831,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.5,50,0.5,46.10450665072,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.6,50,0.4,57.65072672982,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.7,50,0.3,70.05061953103,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.8,50,0.2,83.13577971478,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.9,50,0.1,96.38475806784,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.1,0,0.9,2.47521828884,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.2,0,0.8,5.13159185436,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.3,0,0.7,7.996118313189999,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.4,0,0.6,11.09938428897,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.5,0,0.5,14.47434709452,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.6,0,0.4,18.15180089681,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.7,0,0.3,22.14781799764,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.8,0,0.2,26.43082378696,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.9,0,0.1,30.83616831624,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.1,25,0.9,4.64222502589,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.2,25,0.8,9.60876730657,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.3,25,0.7,14.94725562484,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.4,25,0.6,20.71058481311,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.5,25,0.5,26.95539619775,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.6,25,0.4,33.73410581959,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.7,25,0.3,41.07305790424,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.8,25,0.2,48.91541718499,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.9,25,0.1,56.97242886738,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.1,50,0.9,7.92399610693,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.2,50,0.8,16.37961282677,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.3,50,0.7,25.44661073089,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.4,50,0.6,35.20973380232,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.5,50,0.5,45.75930245153,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.6,50,0.4,57.17829404257,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.7,50,0.3,69.50720600149,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.8,50,0.2,82.65236699748999,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(2-methyl-1-propenyl)benzene,768-49-0,0.9,50,0.1,96.14626408881,C(=O)=O,CC(=CC1=CC=CC=C1)C
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.1,0,0.9,2.01522774473,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.2,0,0.8,4.22587361272,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.3,0,0.7,6.67485325193,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.4,0,0.6,9.4177573352,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.5,0,0.5,12.52638250984,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.6,0,0.4,16.09082903776,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.7,0,0.3,20.21248666112,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.8,0,0.2,24.95976401992,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.9,0,0.1,30.18586977297,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.1,25,0.9,3.86287640791,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.2,25,0.8,8.07834299541,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.3,25,0.7,12.72090327858,C(=O)=O,CO[Si](CCCCl)(OC)OC
